Plantation_age,Aboveground_Tree_Carbon_ton_per_ha,Aboveground_Tree_Carbon_ton_per_ha_per_year,Management_regime,Tree_Density_per_ha,Basal_area
7,0.8515,1.7739,Private,1175,0.010409362
7,0.7578,1.5786,Private,1000,0.012936262
7,0.7726,1.6096,Private,1275,0.009814283
7,0.4374,0.9113,Private,975,0.007945494
7,0.5888,1.2266,Private,1275,0.008485787
7,0.666,1.3874,Private,1150,0.010065961
7,0.6926,1.4429,Private,1350,0.009004667
7,0.3777,0.7868,Private,1125,0.007498331
7,0.7865,1.6385,Private,1250,0.010132274
7,1.2254,2.5529,Private,1350,0.011538879
8,0.3627,0.7556,Private,675,0.009739793
8,0.2991,0.6231,Private,775,0.007220721
8,0.3295,0.6865,Private,675,0.00887295
8,0.1241,0.2586,Private,550,0.005843477
8,0.4288,0.8934,Private,600,0.011368378
8,0.4787,0.9972,Private,650,0.011608995
8,0.1233,0.2568,Private,425,0.006027881
8,0.138,0.2875,Private,550,0.006793397
8,0.181,0.3771,Private,575,0.007492645
8,0.2531,0.5273,Private,550,0.009778582
10,0.386,0.8042,Private,625,0.00995992
10,0.469,0.9771,Private,550,0.012420147
10,0.4975,1.0364,Private,400,0.016178551
10,0.4393,0.9153,Private,400,0.015466446
10,0.9909,2.0644,Private,625,0.018277611
10,0.7996,1.6658,Private,550,0.017298424
10,1.1037,2.2994,Private,525,0.020975207
10,1.3733,2.861,Private,525,0.024097195
10,0.4245,0.8843,Private,625,0.010421417
10,0.4427,0.9224,Private,550,0.011110862
11,0.5367,1.1181,Department,825,0.011150887
11,0.5136,1.0699,Department,525,0.013571383
11,0.2113,0.4402,Department,625,0.0073722
11,0.9294,1.9362,Department,975,0.013335031
11,0.8339,1.7372,Department,650,0.014205103
11,0.9775,2.0365,Department,1025,0.012462053
11,0.869,1.8105,Department,925,0.012624301
11,0.7949,1.656,Department,700,0.015025156
11,0.8823,1.8382,Department,575,0.017154159
11,1.4277,2.9745,Department,1025,0.015794336
12,0.7219,1.5039,Private,500,0.017750847
12,0.3493,0.7277,Private,425,0.01348685
12,0.7678,1.5996,Private,500,0.019862546
12,0.5842,1.217,Private,425,0.018129894
12,0.6547,1.3639,Private,425,0.018695039
12,0.6123,1.2757,Private,275,0.023300215
12,0.6165,1.2844,Private,550,0.016080113
12,0.5275,1.0991,Private,500,0.014854316
12,0.3593,0.7486,Private,550,0.011012567
12,0.2174,0.4528,Private,450,0.009491982
17,1.0028,2.0892,Department,575,0.020831904
17,1.0176,2.1201,Department,800,0.01607862
17,0.7934,1.6528,Department,550,0.016280916
17,1.0402,2.167,Department,425,0.024742557
17,0.8205,1.7094,Department,675,0.015782062
17,1.1245,2.3428,Department,500,0.022705427
17,0.6849,1.427,Department,375,0.018740302
17,0.5707,1.189,Department,350,0.017655122
17,0.5737,1.1952,Department,475,0.014903581
17,0.5847,1.2181,Department,500,0.014535403
18,1.2401,2.5836,Department,800,0.017882472
18,1.2164,2.5342,Department,800,0.01739993
18,1.3412,2.7942,Department,625,0.02071772
18,1.4616,3.045,Department,850,0.017904964
18,1.1011,2.2939,Department,950,0.013988597
18,1.1836,2.4659,Department,1000,0.014202645
18,1.947,4.0563,Department,825,0.022162692
18,1.1476,2.3909,Department,475,0.024568786
18,2.1458,4.4705,Department,825,0.025105199
18,0.9075,1.8906,Department,725,0.01631191
21,2.3427,4.8806,Department,600,0.032496822
21,2.4245,5.051,Department,650,0.029873592
21,1.0314,2.1487,Department,500,0.022042387
21,1.1928,2.4851,Department,550,0.022513465
21,1.4138,2.9453,Department,450,0.028127839
21,2.1794,4.5404,Department,675,0.026978638
21,2.1451,4.4689,Department,925,0.021859828
21,1.9357,4.0328,Department,825,0.022068623
21,0.5628,1.1726,Department,275,0.019939203
21,1.2888,2.685,Department,650,0.021922701
