scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Colibri coruscans,2023-05-30 07:50:00 -0500,,"Metropolitan District of Quito, Ecuador",-0.1117893698,-78.5847339597,,Sparkling Violetear,https://www.inaturalist.org/observations/181918577,https://inaturalist-open-data.s3.amazonaws.com/photos/317086842/medium.jpg,nikborrow,181918577,Sparkling Violetear,Aves,6072,1,0,2023/05/30 7:50 AM,2023-05-30,2023-05-30 12:50:00 UTC,America/Guayaquil,189,189,,open,false,,,137939,Nik Borrow,2023-09-05 15:38:11 UTC,2023-09-05 15:43:44 UTC,research,CC-BY-NC,,NA,false
Colibri cyanotus,2020-02-01 12:22:38 -0600,,"Copey, San José, Dota, Costa Rica",9.6442984252,-83.8503495231,,Lesser Violetear,https://www.inaturalist.org/observations/181863381,https://static.inaturalist.org/photos/316983484/medium.jpeg,danielgarrigues,181863381,Lesser Violetear,Aves,508367,1,0,2020-02-01 12:22:38,2020-02-01,2020-02-01 18:22:38 UTC,America/Costa_Rica,285,285,,,false,gps,gps,2912116,Daniel Garrigues,2023-09-05 04:34:23 UTC,2023-09-05 04:37:34 UTC,research,,,2,false
Colibri delphinae,2023-08-27 07:41:00 -0500,,"Cali, Valle del Cauca, Colombia",3.5280998059,-76.6172009012,,Brown Violetear,https://www.inaturalist.org/observations/181861317,https://inaturalist-open-data.s3.amazonaws.com/photos/316978604/medium.jpg,jeancarlo12,181861317,Colibrí Pardo,Aves,6076,2,0,2023/08/27 7:41 AM,2023-08-27,2023-08-27 12:41:00 UTC,Bogota,2,2,,open,false,,,5280747,Jeancarlo Alzate,2023-09-05 04:09:09 UTC,2023-09-05 13:50:37 UTC,research,CC-BY-NC,,NA,false
Colibri delphinae,2023-08-26 16:28:00 -0500,,"Cali, Valle del Cauca, Colombia",3.5280641223,-76.6171932159,,Brown Violetear,https://www.inaturalist.org/observations/181861316,https://inaturalist-open-data.s3.amazonaws.com/photos/316978575/medium.jpg,jeancarlo12,181861316,Colibrí Pardo,Aves,6076,2,0,2023/08/26 4:28 PM,2023-08-26,2023-08-26 21:28:00 UTC,Bogota,2,2,,open,false,,,5280747,Jeancarlo Alzate,2023-09-05 04:09:08 UTC,2023-09-05 13:50:47 UTC,research,CC-BY-NC,,NA,false
Colibri thalassinus,2023-09-04 09:49:00 -0600,,Parque Ecológico de la Ciudad de México,19.2532739608,-99.1927339509,,Mexican Violetear,https://www.inaturalist.org/observations/181785545,https://static.inaturalist.org/photos/316827869/medium.jpeg,luisvlqz,181785545,Mexican Violetear,Aves,508366,1,0,2023-09-04 09:49:00,2023-09-04,2023-09-04 15:49:00 UTC,Mexico City,207,207,,open,false,,,5586447,Luis Velázquez,2023-09-04 19:06:46 UTC,2023-09-04 20:20:36 UTC,research,,,2,false
Colibri thalassinus,2023-09-02 10:01:00 -0600,,"Morelia, Mich., México",19.6997466667,-101.1336566667,,Mexican Violetear,https://www.inaturalist.org/observations/181780285,https://inaturalist-open-data.s3.amazonaws.com/photos/316813015/medium.jpg,siruki,181780285,Colibrí orejas violetas,Aves,508366,1,0,2023/09/02 10:01 AM,2023-09-02,2023-09-02 16:01:00 UTC,Mexico City,NA,NA,,open,false,,,398099,SIRUKI EDUCACIÓN AMBIENTAL A.C.,2023-09-04 18:35:12 UTC,2023-09-04 18:51:17 UTC,research,CC-BY-NC,,NA,false
Colibri thalassinus,2023-09-02 10:28:00 -0600,,"Morelia, Mich., México",19.6997033333,-101.1336566667,,Mexican Violetear,https://www.inaturalist.org/observations/181780268,https://inaturalist-open-data.s3.amazonaws.com/photos/316806586/medium.jpg,siruki,181780268,Colibrí orejas violetas,Aves,508366,1,0,2023/09/02 10:28 AM,2023-09-02,2023-09-02 16:28:00 UTC,Mexico City,NA,NA,,open,false,,,398099,SIRUKI EDUCACIÓN AMBIENTAL A.C.,2023-09-04 18:35:07 UTC,2023-09-04 18:51:40 UTC,research,CC-BY-NC,,NA,false
Colibri thalassinus,2023-09-02 10:40:00 -0600,,"Morelia, Mich., México",19.6997716667,-101.1336983333,,Mexican Violetear,https://www.inaturalist.org/observations/181780267,https://inaturalist-open-data.s3.amazonaws.com/photos/316803359/medium.jpg,siruki,181780267,Colibrí orejas violetas,Aves,508366,1,0,2023/09/02 10:40 AM,2023-09-02,2023-09-02 16:40:00 UTC,Mexico City,NA,NA,,open,false,,,398099,SIRUKI EDUCACIÓN AMBIENTAL A.C.,2023-09-04 18:35:06 UTC,2023-09-04 18:51:46 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2023-09-04 08:13:59 -0500,,"Manizales, Caldas, Colombia",5.0545348688,-75.5270740762,,Sparkling Violetear,https://www.inaturalist.org/observations/181741170,https://static.inaturalist.org/photos/316744556/medium.jpeg,leandrocastrillon,181741170,Sparkling Violetear,Aves,6072,1,0,2023-09-04 08:13:59,2023-09-04,2023-09-04 13:13:59 UTC,Bogota,9,9,,open,false,gps,gps,3336703,Leandro Castrillón,2023-09-04 14:30:10 UTC,2023-09-04 16:47:51 UTC,research,,,2,false
Colibri cyanotus,2023-08-12 09:37:00 -0600,,"Carretera a Reserva de Monteverde Al lado de la reserva biologica de Monteverde Monteverde, Provincia de Puntarenas, Monteverde, 60109, Costa Rica",10.3022425,-84.7962093,,Lesser Violetear,https://www.inaturalist.org/observations/181692034,https://static.inaturalist.org/photos/316645714/medium.jpeg,latropaloca,181692034,Colibrí Chico​,Aves,508367,1,0,2023/08/12 9:37 AM,2023-08-12,2023-08-12 15:37:00 UTC,America/Costa_Rica,216,216,,,false,,,1519870,LaTropaLoca,2023-09-04 04:31:42 UTC,2023-09-04 14:54:05 UTC,research,,,NA,false
