"count","spray","count2","spray2"
10,"A",10,1
7,"A",7,1
20,"A",20,1
14,"A",14,1
14,"A",14,1
12,"A",12,1
10,"A",10,1
23,"A",23,1
17,"A",17,1
20,"A",20,1
14,"A",14,1
13,"A",13,1
11,"B",11,2
17,"B",17,2
21,"B",21,2
11,"B",11,2
16,"B",16,2
14,"B",14,2
17,"B",17,2
17,"B",17,2
19,"B",19,2
21,"B",21,2
7,"B",7,2
13,"B",13,2
0,"C",,
1,"C",,
7,"C",,
2,"C",,
3,"C",,
1,"C",,
2,"C",,
1,"C",,
3,"C",,
0,"C",,
1,"C",,
4,"C",,
3,"D",,
5,"D",,
12,"D",,
6,"D",,
4,"D",,
3,"D",,
5,"D",,
5,"D",,
5,"D",,
5,"D",,
2,"D",,
4,"D",,
3,"E",,
5,"E",,
3,"E",,
5,"E",,
3,"E",,
6,"E",,
1,"E",,
1,"E",,
3,"E",,
2,"E",,
6,"E",,
4,"E",,
11,"F",,
9,"F",,
15,"F",,
22,"F",,
15,"F",,
16,"F",,
13,"F",,
10,"F",,
26,"F",,
26,"F",,
24,"F",,
13,"F",,
